year,beaux_ADJ ans_NOUN,beaux_ADJ champs_NOUN
1993,6.647049133334804e-09,1.3294098266669607e-08
1994,1.318731612798274e-08,1.9517228722065738e-08
1995,1.7351842629409475e-08,2.6570008415660595e-08
1996,9.60856638698715e-09,1.2811421257197253e-08
1997,1.4864173003559245e-08,1.91795770376757e-08
1998,1.0489884516573511e-08,2.193339376788117e-08
1999,2.0108885223635298e-08,1.690974471557638e-08
2000,1.2812291672048559e-08,1.988114206596947e-08
2001,1.4896119893137438e-08,2.4534786646768225e-08
2002,7.009954394732176e-09,2.6287329646379476e-08
2003,6.667076668520622e-09,2.0417921575699438e-08
2004,1.0571499231559756e-08,1.4095332012686868e-08
2005,1.306087415997581e-08,1.0808999029165989e-08
2006,8.64756888319107e-09,1.4412615101377924e-08
2007,2.1969636776475454e-08,1.837460494868992e-08
2008,5.5346713878634546e-09,1.4049550856043425e-08
2009,6.198650481792356e-09,1.8595951445377068e-08
2010,1.2754241218715379e-08,1.4643758206034363e-08
2011,1.911985902935953e-09,1.644307978665438e-08
2012,1.327658516458996e-08,1.7702113552786614e-08
2013,1.0319762822064149e-08,1.7013663367038134e-08
2014,1.797319448826329e-08,1.797319448826329e-08
2015,9.087958829923082e-09,2.659890441236712e-08
2016,1.6156452176119274e-08,3.210577048662344e-08
2017,4.2765391228272165e-09,1.7609279368002717e-08
2018,1.4714360396794746e-08,1.6779534206534663e-08
2019,1.403043281555938e-08,2.244869179435227e-08
