year,moins_ADV égale_ADJ,moins_ADV egale_ADJ,moins_ADV légale_ADJ
1936,1.6065247336882749e-06,2.424942913137329e-09,1.091224355320719e-08
1937,1.809343643799366e-06,3.777335333410292e-09,6.295559185076627e-09
1938,1.7321526684099808e-06,1.2965214457594243e-09,9.075650453382877e-09
1939,2.0264617432985688e-06,4.588215141154706e-09,7.647025235257843e-09
1940,1.6431873746114434e-06,5.0715658339584024e-09,7.607348528892999e-09
1941,2.045391283900244e-06,2.9515025978810172e-09,2.9515025978810172e-09
1942,1.6809533462947002e-06,0.0,6.068423541449874e-09
1943,1.463230546505656e-06,2.9032352077962287e-09,5.806470415592457e-09
1944,1.5776744248796604e-06,6.4263723231761105e-09,1.2852744646352221e-08
1945,1.4639547316619428e-06,2.178504043826024e-09,1.742803235060819e-08
1946,1.5939664308461943e-06,2.7842208538686464e-09,1.8097434661967782e-08
1947,1.7356787793687545e-06,3.5762612871081956e-09,1.1920871401116528e-08
1948,1.622085619601421e-06,1.0871887834440486e-09,7.610321262063735e-09
1949,1.951621243279078e-06,1.9634016634739737e-09,2.945102384188658e-09
1950,1.7059119272744283e-06,3.190608444114673e-09,7.444753258312176e-09
1951,1.7367423197356402e-06,5.330700769690111e-09,1.5992101864981123e-08
1952,1.773635972313059e-06,2.1089607837865287e-09,1.687168627029223e-08
1953,1.7173481410281966e-06,0.0,1.508335856215126e-08
1954,1.801078383323329e-06,1.9545072227344917e-09,7.818028890937967e-09
1955,1.7147505104730953e-06,9.385607846468247e-09,1.1262729415761896e-08
1956,1.6500399624419515e-06,1.744228317335228e-09,8.72114114258693e-09
1957,1.8005806623477838e-06,4.417518795207798e-09,7.068030161150318e-09
1958,1.9687938674906036e-06,5.790570245522986e-09,4.1361216673863055e-09
1959,1.946987822520896e-06,1.5501495642666896e-09,1.5501495642666896e-09
1960,1.7814224975154502e-06,5.536666680683311e-09,1.4533750203327145e-08
1961,1.6362914720957633e-06,2.779263708063695e-09,1.528595028332802e-08
1962,1.601978169674112e-06,5.0735651235811474e-09,9.512934440181198e-09
1963,1.6637154658383224e-06,6.466053248388448e-10,1.2932106940866106e-08
1964,1.678566832197248e-06,2.4335873316516654e-09,9.734349326606662e-09
1965,1.4758101087863906e-06,6.5664522708175355e-09,1.2585699593614663e-08
1966,1.6179637896129861e-06,1.1078149508847446e-09,7.754704434148607e-09
1967,1.3972570513942628e-06,3.944268467392931e-09,1.035370456037299e-08
1968,1.4008726338943234e-06,3.1439910674890825e-09,1.0330256650092906e-08
1969,1.286225824514986e-06,3.6334062425424918e-09,1.407944960618579e-08
1970,1.3782379255644628e-06,4.1388523719376735e-09,7.817832603507213e-09
1971,1.364758418276324e-06,2.569198631618974e-09,1.1818314327172175e-08
1972,1.4374671764016966e-06,5.643161493651405e-09,4.104117490300041e-09
1973,1.3733390460402006e-06,1.102640756478479e-09,1.1026407342740185e-08
1974,1.6224148566834629e-06,5.06301445213353e-09,1.012602890426706e-08
1975,1.5717993164798827e-06,3.4268881066168433e-09,1.0851811893530794e-08
1976,1.5717912447144045e-06,7.427584769459372e-09,1.1427053969725876e-08
1977,1.2558682556118583e-06,4.7014254711541525e-09,9.990529292736028e-09
1978,1.14118756755488e-06,5.940591352171509e-10,1.3069301196821925e-08
1979,1.0018578677772894e-06,4.096381456264453e-09,1.8726314721106974e-08
1980,8.97116763098893e-07,1.1370301367108482e-09,5.6851505725319385e-09
1981,8.577445100854675e-07,6.325549528618524e-10,8.223214109648325e-09
1982,8.522900429852598e-07,1.2415004579935385e-09,1.0552754226011984e-08
1983,9.113001055993664e-07,1.89459470334441e-09,1.894594880980094e-08
1984,8.686914725331008e-07,2.3196033982486597e-09,1.2177918229383522e-08
1985,1.1122766636617598e-06,2.4062232206745193e-09,1.3234227935754461e-08
1986,1.0939935464193695e-06,5.994485352545098e-09,4.196139880008332e-09
1987,9.972852694772882e-07,4.888653482026939e-09,1.1610551631235921e-08
1988,9.288661999562464e-07,2.99827696004229e-09,1.199310784016916e-08
1989,1.0482312973181251e-06,2.1952488715726304e-09,1.2622680678475717e-08
1990,8.734187417758221e-07,3.2691906959314565e-09,1.1442167213715493e-08
1991,7.244771040859632e-07,0.0,8.20605094986604e-09
1992,7.923299563117325e-07,3.30596661157756e-09,1.652983172562017e-08
1993,7.4890084533763e-07,5.539207426075166e-10,1.3848018731721368e-08
1994,7.51677021071373e-07,1.5824779264761446e-09,7.384897138251745e-09
1995,7.20643697604828e-07,2.7112254663563817e-09,1.0844901865425527e-08
1996,7.40927191600349e-07,5.338092190498855e-10,1.6548085568501847e-08
1997,6.674492851743707e-07,4.79489448146353e-10,1.4864173003559245e-08
1998,6.146118494143593e-07,9.536258449571733e-10,7.629006759657386e-09
1999,5.831576572745689e-07,0.0,1.2339542720951613e-08
2000,6.05712102696998e-07,8.836062992401139e-10,1.0603275590881367e-08
2001,5.809486651742191e-07,1.3143635069212678e-09,1.095302959441824e-08
2002,6.457920562752406e-07,1.3143663935011318e-09,1.5772396722013582e-08
2003,7.004597364357323e-07,4.1669229178253886e-10,1.2500768420409258e-08
2004,6.254803679439647e-07,4.404791253964646e-10,1.1011977996133737e-08
2005,7.22401409802842e-07,4.5037495954858286e-10,1.4411998705554652e-08
2006,5.534444085242285e-07,8.235779835885637e-10,1.729513776638214e-08
2007,5.236762490312685e-07,0.0,1.3181781888249589e-08
2008,5.828434836985252e-07,8.514879357157668e-10,4.6831836186811415e-09
2009,6.146200348666753e-07,4.76819250749827e-10,1.8595951445377068e-08
2010,5.866950800736959e-07,9.447586046817946e-10,1.9839930587295385e-08
2011,5.414744350673573e-07,0.0,1.3766299211681599e-08
2012,4.578719767778239e-07,0.0,1.4978711604385353e-08
2013,5.709338779524842e-07,0.0,1.1156499724052082e-08
2014,5.216557497078611e-07,2.1654451842767486e-10,1.277612682315521e-08
2015,6.117747943790164e-07,2.2165753954528356e-10,9.97458915463767e-09
2016,5.689971089850587e-07,0.0,1.118523584864306e-08
2017,5.67270376450324e-07,0.0,1.4842107098900215e-08
2018,4.561451589779608e-07,0.0,1.1100306451794495e-08
2019,5.70911083741521e-07,0.0,1.0459049626376782e-08
