year,mon_DET essai_NOUN,mon_DET décès_NOUN
2007,2.1889747739423093e-07,6.91044945710928e-08
2008,1.7540651428560317e-07,7.578242389172374e-08
2009,1.940654310583767e-07,7.104606680741199e-08
2010,1.761974868230709e-07,8.030448128693024e-08
2011,1.2925025405507995e-07,5.621238940989315e-08
2012,1.201701243236375e-07,1.0246800741242623e-07
2013,1.1965346491393802e-07,1.204901991513907e-07
2014,1.5417969874420567e-07,8.964943276623671e-08
2015,1.1925175549820644e-07,1.1681352418690949e-07
2016,1.4851508317592632e-07,9.424596925100559e-08
2017,1.3559145006780682e-07,9.534166878211181e-08
2018,1.3785031927060487e-07,8.69954277504803e-08
2019,1.2678409166966276e-07,1.1275366063046022e-07
