year,quand_CONJ il_PRON,quand_CONJ mille_DET
1965,6.953653883101651e-05,1.3132904208568164e-08
1966,7.142359936551657e-05,7.200797069728537e-09
1967,7.121573889889987e-05,1.2325838738558303e-08
1968,7.121993348846445e-05,1.8414804126010154e-08
1969,6.453156493080314e-05,1.6804503788492298e-08
1970,6.44318179183756e-05,1.1036940278374985e-08
1971,6.603560086659854e-05,1.9525910222029097e-08
1972,6.099641996115679e-05,8.208234758555477e-09
1973,5.987945587548893e-05,1.0475087242056702e-08
1974,5.539669291465543e-05,6.1881286761433785e-09
1975,5.610615244222572e-05,1.1994108373158952e-08
1976,5.63165194762405e-05,7.998937456843436e-09
1977,5.615499958366854e-05,1.3516598396101642e-08
1978,6.080729781388072e-05,1.0099004965624658e-08
1979,6.050121100997785e-05,5.266776126333639e-09
1980,5.735748527513351e-05,5.6851505725319385e-09
1981,5.872640213056002e-05,1.0120879467834243e-08
1982,6.034871785232099e-05,1.4277254933858785e-08
1983,5.894968580832938e-05,1.136756822006646e-08
1984,5.857114683749387e-05,4.639206629963866e-09
1985,5.7299995205539744e-05,7.820225467192188e-09
1986,5.9691288697649725e-05,1.1389522436289212e-08
1987,5.7763108088693116e-05,3.6664901670313554e-09
1988,5.941625568084419e-05,4.197587610832443e-09
1989,5.739642892876873e-05,7.134558721588746e-09
1990,5.8323451412434224e-05,4.90378582185258e-09
1991,5.924241395405261e-05,7.619904818234602e-09
1992,6.007657339068828e-05,4.407955389584828e-09
1993,5.9225761106063146e-05,8.308811416668505e-09
1994,5.967260767647531e-05,1.3714809232734382e-08
1995,6.0030868553440087e-05,4.337960657352369e-09
1996,5.757666258432437e-05,9.07475650180345e-09
1997,5.785711437056307e-05,3.835915696193126e-09
1998,5.942185725871241e-05,6.198567881199324e-09
1999,6.029375072102994e-05,6.398281821029528e-09
2000,6.0728934840881266e-05,6.1852442057031e-09
2001,5.961865190329263e-05,3.943090631786106e-09
2002,6.331828899419634e-05,4.381221607729913e-09
2003,6.365516401274363e-05,5.416999848684156e-09
2004,6.232383111637319e-05,8.369103632333008e-09
2005,6.329029110929696e-05,1.0358624180639708e-08
2006,6.673864390904782e-05,7.412201852297073e-09
2007,7.428054141200846e-05,9.986199089873082e-09
2008,7.439066757797264e-05,9.366367237362283e-09
2009,7.784598528814968e-05,7.152288761247405e-09
2010,8.732356400287244e-05,7.085689590624611e-09
2011,9.391636740474496e-05,7.647943833788418e-09
2012,0.00010831583495019004,8.510631754887754e-09
2013,0.0001139187443186529,1.0040849707237953e-08
2014,0.00012526515638455749,1.1260314569661034e-08
2015,0.0001237870892509818,9.309616633146334e-09
2016,0.00012658704872592352,7.871092222444531e-09
2017,0.0001221975835505873,8.301517084863264e-09
2018,0.00013045700325164944,9.035133086143787e-09
2019,0.0001247152395080775,9.183555693681456e-09
