year,mon_DET or_NOUN,mon_DET fort_ADJ
1991,3.868566977871524e-08,9.026656311306169e-08
1992,4.0222590869110064e-08,8.320015409957193e-08
1993,4.6529340824719156e-08,8.41959520991864e-08
1994,5.116678947203468e-08,1.2343328092967454e-07
1995,3.958388994362849e-08,8.838594744986494e-08
1996,3.8968072990641645e-08,8.807852114323111e-08
1997,4.3154051110327885e-08,9.685687163418777e-08
1998,4.29131632451174e-08,9.965390157518073e-08
1999,3.976074980371891e-08,8.5919782955024e-08
2000,3.71114652342186e-08,9.233685649423506e-08
2001,3.811654292196209e-08,8.674799101271446e-08
2002,3.417352778534166e-08,1.0865429422857176e-07
2003,3.791899783056607e-08,1.1875730443478005e-07
2004,5.638132671847984e-08,1.1276265943216401e-07
2005,3.602999687490893e-08,8.602161871706926e-08
2006,4.3649631242814735e-08,1.0747692691381872e-07
2007,3.7548105791263e-08,1.3501341272759149e-07
2008,5.15150195279368e-08,1.4347571952733063e-07
2009,4.243691442695763e-08,1.5019806931526603e-07
2010,6.613310210568102e-08,2.1729448396179407e-07
2011,7.30378623692296e-08,2.225551731793729e-07
2012,8.102121512587601e-08,2.519146971025066e-07
2013,1.1240173802828934e-07,2.978785669238704e-07
2014,1.0459100341364547e-07,2.84106415726626e-07
2015,1.2634479436279822e-07,3.06774042280189e-07
2016,1.3173722290815704e-07,2.9578735727398e-07
2017,1.343336428760722e-07,3.499215252000809e-07
2018,1.1306824038159746e-07,3.6088904042941294e-07
2019,9.642733844739126e-08,3.257611471685351e-07
